Username,Comment
andra_real07,di sini baru hidup
arifpriatama255,kasihan PLN pasti rugi lagi karna pemadaman😭😭😭
tuchsikage,13.51 baru hidup di Sumatera Barat Dharmasraya
eyangola1,mending listriknya nyala tempat kami dari magrib sampai sekarang belum nyala lambat 1hari didenda gak wajar seperti sabotase kayak sengaja nyusahkan rakyat cuaca cerah kok padam🤣
zikk2595,listrik di kab solok khususnyaalahan panjang udah hidup jam 14.00 hari sabtu
ariashabry,"PEKANBARU Masih padam pak Oy....
minta maaf doang, anak kecil juga bisa"
yo2kwb,maaf ajaaa apa kompensasi nyaaaa ?
telorbusuk190,lampung mati jam 7 sekarang baru idup
naurarfa,masih beberapa yg hidup sebagian masih mati lampu sampai saat ini
zulaii_ikaa,"gamau maafin, aku gabisa tidur gara gara ini"
ayaaluvvia,gw mati dari jam sembilan malam baru idup sekarang😔😭
r.ah.ma.a,@Mas Jeffry
riapuspita035,BENGKULU JUGA PAAAAKKKK
hahahihiajaww,peu di peugah ma dih key bak kede KA Abeh kupi² 10 boh glah bak ku preh antri cah HP
all__910,"Udah ah pak gpp, yg penting bengkulu nggak😭"
daudryb,harus ada kompensasi nya juga lah
yoel_gio.1,ini aja kejadian lg mati listrik di daerah Simalungun Sumatera Utara
mg_galau24,sumsel mati lampu juga
andeski79,enak saja minta maaf
whybas_,TOLONG KAMI KEPANASAN 😏😏
m.faizan.lubis,samapi berapa lama
bodts,baru idup anjirr😭😭 ape sih yg ditutupiiii😭😭
user4811010874288,"kerugian masyarakat tidak bisa kembali hanya dgn minta maaf
PLN wajib mengganti kerugian itu"
yeni_vira,"Lama banget mati lampunya di Bungo, tapi musim kemarau di sini, kecuali musim hujan"
aldimarpartohonan,sudah terlambat ketua .......
itsd0903,pak kami di aceh belum hidup sampe sekarang mau maca naci pak 😭😭😭
renciosas,maintenance perlu dilakukan rutin jangan sampai mati Listrik se sesumatra
ditakurniasih12,baru pagi tadi hidup jam 12 mati lagi 😏
nobodyknowsdy47,tadi malem menyala woy panas nyaa
sekar_ayu813,"ga di maafkan
soalnya sering mati lampu.
kWh yg pasca bayar juga tagihannya membengkak."
nengzya_,🤣
ikyy08216,berniar
calm_sea02,bjir panik lama banget mati listriknya🗿😭 tidur gabisa .
nengzya_,😭
amhar421,mati ikan2 aku gara mati lampu
widi.tikaasss,gak mau maafin
mylovely1920,"ga mau kmi maafin bpak,,pkoknya minta kompensasi buat sumatera yg sering mati lampu.gkda Aer mau mandi"
jhontancho,patutlah mati lampu semalam dari jam 6.30 sore sampai jam.2.55 pagi bru hidup
tridara353,"Lampung ikut terdampak padam listrik,,,1 hari 1 malam"
nuriati001,sampai sekarang medan blm hidup lampunya gmn ini
itachi.uciha246,"dari jam 18.44 sampek jam 13.00
di daerah labusel sumut,
sampai ada sekitar waktu jam 23.00 hidup sebentar lalu redup dan membuat kerusakan alat alat listrik di rumah"
mate_rokkap0,"ke inti nya aja, berpa ton lewat ?"
kaktirrr5,pak tebing tinggi blm hidup. 18.44 sampe skrg 13.59
ehannnnnnnn29,"giliran mau pasang panel surya dipersulit izinnya, halah"
liaaaa_694,untung Deket aku sudah idop😌
tiannnn10,puluu puluu
nafit80,kami masih mati lampu bapak kami blm bisa maafkan 😭
sitty26_,ngk di maafkan AQ ngk bisa tidur panas & bnyk nyamuk..wifi mati ngk bisa nonton dracin 😩😩
sukacoklat773,panas bangett oiii😭
syahraini.fadilla,"bearti di rumahku PLTU batubara, soqlnya jam 3 pagi baru idup"
nursiah12380,"tahu kalian minta maaf, kalau kami telat bayar lampu sampai dua bulan sibuk kalian mau' putusin"
1111gleee,[Stiker] OI IDUPIN LAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
vems2109,"tapi sampai sekarang sebagian daerah sekitar sungai sumbai masih mati pak..tolong segera pak, kami ga pernah telat bayar listrik."
sahru9411,bayangin di Aceh aja 2 Minggu baru hidup lampu 🥺
suyat667,"ganti rugi lah
...
kita aj KLO telat kena denda ..."
bosui444,apa gunanya pembangkit di sumut yg begitu banyak kalo sumut ikut juga kena dampak
destri.baikhati0,gamau maapin soalnya tadi malam aku mimpi pocong gara2 Mati Listrik
ad.gaming86,TOLONG DI AUDIT PLN INI !
hendra...03,Sherlock
asril.sayuti1,"permintaan maaf bapak diterima..
kami mengucapkan selamat atas prestasi bapak yang telah mencetak sejarah yang belum pernah terjadi sebelumnya sejak indonesia merdeka..."
asyikanom,Sama jir😳
dian11jambi,@Devi jambi @Devi_jambi nah di Sarolangun mati lampu dak bunda
milkchoco833,"KAYAK MANA INI PLN KOK BLM JUGA HIDUP LISTRIK KAMI ??
DAERAH SEI PUTIH TIMUR II MEDAN PETISAH"
jayjyo_8,"oke iya iya, jadi berapa ton yang masuk?"
dudi_dudidam,saya sayaaaa👋👋 di muara bungo pakkk
warganetnutz,"lengserkan dia ganti pemimpin dan pekerjanya, kenapa tidak di cek secara berkala setiap system transmisi yg mereka terapkan, agar tidak terjadi kendala"
reza_rafika,🤔🤔
damanikk96,"yaallah Uda hampir mau seharian lohh, dari kemaren Maghrib😭 yg aneh nya kenapa sebagian hidup sebagian matii. Masi mending ada yg hidup mati ini mati total terussss. pam susahh keluarr airnya ihh tuhann😭😭"
modiss.fashion,"toko saya jadi tutup cepat,,dan masih banyak lagi yang merugi"
uanguang12.uang31,"Gak mau maafin sya semalam tidur jam 4 subuh bangun jam 6 pagi plenger habisss myamukkkkk banyak bangettt dan panasssssssssss pollllllllll AC mati total ,,,,,,,,,,,,,,,,,, dan kedapatan kucing eek di dalam rumahhhhhh 😭"
ahn_putri_,belum hidup listrik nya pun pak 😌
ekaf83,di sini masih mati lampu😭😭
leaella3,parah kaun PLN banyak alasan!!! 😏
noni.110823,dari jam 6 sore sampai siang ini masih blm hidup lampu di medan....
indraumbara01,kalau nggak mampu mundur aja pak..bukan maaf yg mau kami dengar..sampe saat ini kami di kota medan belum hidup juga listrik!!
solcaniago0,"preddddddd,"
agus07226,"diriau, 20;00, hidup jam 06:00"
aristarseventhree,ada genset tiap gardu di daerah dong dikasih supaya mobilitas tak terganggu
ifahzein662,"ternyata pembangkit tenaga listrik bisa syok jgk ya, kirain aku aja klo liat dompet kosong lalu syok.. 😃"
wong.lanang.asli,Jujur aja udah berapa titik yang lewat dan aman
zeanisya.31,bayar listrik rutin tiap bulan tpi mati listrik trus bulan ini
ronnarizkynasutio,ada baik nya juga mati lampu td mlm anak2 jd cepat tidur krna nggk bisa main HP krn lowbet batrei👍👍
drs.tasrijal,ngarang cerita pak
gloryanesta,"parah ini, air gak ada jaringan juga susah
sampe saat ini daerah ku blm hidup juga"
theodorcase,"Simulasi blackout sudah di terapkan di indo, jadi bukan prediksi lagi😳 berikutnya jawa atau Kalimantan"
witadevi8,"aku gak mau maafkan dan tidak akan pernah ku maafkan gara"" mati lampu aku jdi berotot kipasin anakku smpek pagi"
renita19944,Gilak di tempat ku dari jam 6 sore sampe jam 8 pagi
hafrinaldinur,kompensasinya apa?
cirem_mesui,kebanyakan omong kosong
ninirukmana3,kami di jambi hidup woi mati bntar cuma 10 menit pgi td
abangda1212_,[Stiker] kek nya jop besar ya pak
mhdalbar69,mintaa maaff ga bisaa mengembalikan kerugian
saputerbangdracomalfoy_,[Stiker] WOIII PAKKKK PANASSSSSSSSSSSSSSSSS
lekno1922,👍👍👍
vionaawpavv,"gamau maapin, gabisa tidur pak panas 😔😔"
rulianazizah,kompensasi pak bisa kali!!! semalem lama bgt tu mati listrik Ampe keringetan gak bisa tidur 😭😭😭
hutasoit18parpatitoba,RIAU dari jam 18:44 hingga jam 08:55.
kenzo_kenzo_6990,"KAMI RIAU PUNYA PLTA KOTA PANJANG, MALAH KAPASITASNYA CUKUP BESAR,, GK MUNGKIN KAMI KRISIS LISTRIK DI DAERAH RIAU,, INI ADA APA DG PIHAK PLN,,??"
scorpio_380,How long is this life?
ahwanxd,semalam jatim juga mati listriknya
huangyouming88,rahmadsyah medan ampe skr belum hidup dah 19 jam......
wang19755,"kalau byr telat boleh dak minta maaf saja pak, dak perlu denda😂😂😂"
kanzakanza6706,kerugian masyarakat akibat mati lampu gemana ????.😳🤣
azl0229,sinyal nya ga ada cok
andrewbendico,ganti rugi donk gratis satu tahun
user16150178609797,"ada kompensasi GK pak gak bayar bulanan 3 blm gt,KL telat kami di denda KL gangguan BPK TDK ksh kompensasi"
keylndraaa,ga di maapin
nazlaaa633,"Gosah banyak cakap lg lah wak, intinya idup jam brp wak???"
kutentuanmudadaud,bagi2 lah pak hasil nya. 😁
mommysweety88,Kasih diskon gkmau tauuu!! Dispensasi utk listrik 50%!!!
nanda_hr03,kami akan maafkan jika bulan ini tidak bayar listrik
sylvlstr,"gapapaa pak, aku bisa liat langitnya indah td malam! ❤️‍🔥"
youngliff5,sekarang mati lagi sdh 4 jam blm juga hidup
wajd1240,kami belum hidup Medan amplas??
muklekelektronik_8,benar kata Darma ponrekun di sini jg mati asem coooo okkkk...
helmapanggabean03,Di X 2 pun vt nya tetap lambat di telinga ku terdengar 😩 byk bgt spasi nya pak
akhwat_manhaj_salaf,sampe detik ini blum hidup
jonny.sennyo,Copot Saja OMDO
sarliqbj8q8,intinya ga mati lampu lg kan!! 😏
novriyana.siagian,"ujung"" nya kenaikan harga PLN"
selena.ginting3,woi anj panas kali ppklah
nectarrrude,"TOLONG MEDANN SEKITAR WOI, DH ALLAHUAKBAR X INI NYAWA MERIANG"
shadooww02,pecattt
themis236,"2026 disaat negara luar sudah gencarnya teknologi, di indonesia masih sering urusin pemadaman listrik wkwkw😂"
evah.purba,Anjir Sdh 20 jm sampai skrg blm hdp jg
melyhot,Tidak di maafkan karena kami harus ngungsi ke hotel
firza816,Gila dr jam 6sore sampai jam 9 pagi.tiada maaf bagimu.pengusaha UMKM.nyaris tdk bisa beroperasi.krn tdk ada pemberitahuan sebelumnya.sory ye .tiada maaf bagimu.🥵
user540666971,😳😳😳
kristina.lase7,"maslaahnya pak,..kami dari hari jumat tgl 22 mei pkl 18.44 malam sampai hari ini sabtu 23 mei pkl 13.55 siang ini,daerah Medan Polonia belum menyala...sebentar lg sudah masuk ke 24 jam,sedangkan daerah lain sudah menyala...jadi intinya,jam brapa nyala ini pak..??"
rikyi_.7,nanti malam mati lampu lagi gak pak
feb26feb,"GAK BUTUH MAAF, BUTUH NYA KOMPENSASI @PLN"
beniku07,Ikan arwanaku mati 😭😭
rikyi_.7,dari jam 18.44 sampek jam 09.21 😭😭
siantoerie15,"Apakah gangguan ini hanya untuk menghemat BBM pak dirut? dan bagaimana dengan kerugian masyarakat,apakah ada konpensasi jika telat bayar?karena bagaimana pun alasan PLN,sama saja,karena masyarakat sudah minim kepercayaan kepada penjelasan ini semua"
mustaminfeatnaray,tempat ku padam dari PKL 18:48 nyala Baru siang ini PKL 12. 09
lolottt21,mati lmpu uyyyyyy
o.damin,"kl telat bayar 2 hr aja main putus"""
itsme_pretty215,lama kli ngomong nya ampe aku ksih kecepatan
rarraa12288,"mls, awak ketindihan malam tadi"
trislevia_p217,dari jam 7 malam sampai jam 1 siang baru hidup barusan :)
miodancio,gak ada itu semua paseerrr
hematgo,"Maka sbg kompensasi pemerintah dlm hal ini PLN, memberikan bonus token pulsa 500 ribu per KK. Karena kelalaian kami dalam pemeliharaan selama ini..."
kevinpramudyavalerio,Gara2 pln gua ga telponan sama ayang gue
fandi.erlangga03,"PLTA yg besar di kerinci,jambi buat apa fungsi ya,,..?"
twentynine162,Pak dimaafin asal gratis listrik setahun aj ❤️
feb26feb,"KASIH KOMPENSASI DONGG, KITA TELAT BAYAR LISTRIK LANGSUNG DI PUTUS LOL"
buunky4,mudah mudahan ga ada part 3 nya dah🗿
onthespot0808,18 jam kmi mati lampu di medan ni pakk.. anehnya gk smua merata hidup lmpuu.. gilakkkk!!!!!
user1011110713796,asal jangan pajaknya naik 😳
amsari905,"ganti rugi lah, untuk perusahaan kecil menengah kan berdampak"
maliyorai11,mungkin hidupnya malam ni...
rayavrilaluna257,kami sampai saat ini lum hidup lampu juga
ycrlns,"gw di cafe abis 500++ gantiin. tu baru sarapan, yg malem belom lagi"
taufik.hidayat2264,[Stiker] 
mstqmngr,gak masuk akal
heryansyahputrasy,cuma gitu.. kami gak bayar bisa minta maaf🤣🤣
senta621,gak ku maafin kalo gak bayar PLN 1 hari nagih nya 10 kali tapi kalo mati lampu gak ad tuh kami komen
herry.susanto324,"cumn maaf aja
kmrin sebelum token klu kita telat kita kenak denda
ni sekarang cuman minta maaf pak"
afner641,kapan bpk ini diganti ya
bayu50784,trimakasih pak Dirut.👍👍👍
sellybellamarpaung,[Stiker] kalau telat bayar PLN kalian langsung cepat-cepat datang
m15hm97,besok kalau gua telat bayar PLN gw mnta maaf ya kalau telat 👍
nonashinta91,Masih ku pikir2 tuk di maafkan.. Semalam gak ada tidur sampai pagi karna kepanasan sampek mandi 2 kali di tengah malam 😌😌
deacute09,Diriau uda hidupp
expreslokal,[Stiker] 
baritiamoho,"ganti rugi donk, token gratis selama dua bulan,"
any_abrant,dahlah capekk mati trs 😳😏
aristarseventhree,saran saja seharusnya ada dispensasi yg diberikan untuk masyarakat yg terdampak
riniwdayy,kekmana ini ikan mamak kami di kulkas cair semua😭
kullisawitt,kami blom hidup sampe sekarang!
andry.boy95,Pak kenapa padam lg ni listrik nya 😓
jameswong297,"betul .salah bisa maaf
aja .bukan bilang gratis selama 3 bulan"
samahudinhasbi,"asal di bawah naungan pemerintah bakalan gini terus
coba kalau di pegang swasta pasti untung dan aman² aja
itu pasti"
fake_rull,kompensasi gak?
de_jou7,"tiada maaf bagi mu PLN,, km telat byr bs gak dngn minta maaf tuan,,, boleh mcm tu??"
mey84604,di sini dah idup we
rtambunan88,"gitu pembayaran,,,sibuk nya minta ampun..."
penundalapar25,Lampung dari jam 11 malam sampai jam 4 subuh
ciciciecakwo,Pak izin ni... apa kah dengan kejadian ada indikasi dengan kenaikan harga listrik?? jangan naik y pak.... harga yang skrng aja udh cukup tinggi pak... klo naik lg cekek leher kami pak...
aanoonimm_,binjeee baru hidup wehhh 😭😭
berkah_an_nurcare,[Stiker] 
2157234805,"cuman minta maaf doang.?😡😡😡
ganti rugi lah kerugian kami juga selama mati lampu.😡😡😡"
gojek.gacor52,"minta maaf enak bner, giliran telat bayar kyk nagih utang 😅😅😅 ikan gua mati sebagian , xlw rusak di percepat perbaiki , jngn kelamaan kasian warung"" es pada cair 😭😭😭😭😭"
okapiyani017,"Gamauu gara""ituu aku ga bisa tidur kasihan anak ku kepanasan 😕🥲"
agslndmnf_,kami belum hidup sampe sekarang 🥺😭
fandi8223,untung besar PLN😂😂
hoseliau07,"giliran padam listrik tak ada konpensasi bagi pelangan...
tapi giliran telat bayar...
tak ada cerita..langsung di putus.."
juang.kuphi,enak x bpk minta maaf kelar😂..kmi telat byr listrik langsung di putus
sunar.sunario,prasaan hampir stiap hari SDH setahun ini di Riau...
nurhaliza_khan,"dr jm18:44 sampai jm 10:00
aku gak bisa jualan sarapan😢
gk ada pemberitahuan untuk masyarakat"
dapoermamafatih14,tolog pakk daerah ku blm hidup
muhammadferdi7k,"harus ya minta maap
cuman 8 jam doang pun"
wanfiki007,Medan ga masuk ya
brunohajar,"jgn matiin lampu di jakarta ya pak
nanti bpk bisa dipecat.
daerah lain tinggal minta maaf"
aanrioapriansyahh,kalau masyarakat nunggak tagihan bulanan apakah bisa hanya sekedar minta maaf?
bundawid95,ga mau aku maafin
skincarebyaminah,"aku ga bisa tidur woy smlm mati lampu, panasssssssss jd hantu dadakan semalam😡😡 ngreok aku‼️"
relaa_laa,iya udah pak kek sama siapa aja
manismanisss8,Pasaman Barat jam 18.44 tadi malam sampai jam 11.00 hari ini baru nyala😭
dilkidilkidil,kalo telat bayar listrik sampai nunggak 2bulan bayar listriknya minta maaf boleh lah pak
acathar0,kami di medan deli sampai sekarang belum nyala
wardanidani50,"komunikasi ga bisa,ada apa ini...cek cek"
palyer_nob,"banyak omon omon mas , bilang aja yang masuk kantong berapa M ?"
irsyah819,kalian bisa maaf... kmi salah sikit minta maaf klian cabut
desifarzan_82,kami Pesisir Selatan Sumatera Barat Mati lampu pukul 19.10 wib
kuklo_exp,Talang Kelapa nih hamper tiap hari pemadaman listrik kegiatan sekolah terganggu gara2 PLN nih... 😡
pt.pulai,enak nya jadi pjabat di konoha ckup dgn mnta maaf aja selesai
ok146556,ini dari semalam sampai sekarang masih mati njir 😒
hana_na27,"paaakkkk, ikanku di akuarium pada lemes gak ada listrik, masak nasi harus pakek panci, ehh anak bayiku tidur harus dikipasi smpek pegel nih tgn🙏🙃"
yuri1l0,"gampang kali kau mintak maaf , sementara rakyat terlambat bayar kalian lansung memberi sangsi masyarakat dan ada juga yg d putus kan .........."
kiranrani772,"ga di maafin , aku makan brrsama sama nyamuk . aku makan nasi nyamuk nya makan aku 🙃"
indahnyacinta25,Dari jam 7 mlam..sampai jam 1 siang baru hidup lampu nya untuk wilayah jln Bayangkara kota Medan...😳😳
adha_katsiru,dirumahku sering banget matlam 😌
serendipmin_,dr malem sampe skrng daerah rumah laki gue belom nyala woi tolong lah
bgoneto7,kerugian masyarakat gmn jgn cuma minta maaf
ibarsyahjanu,"kita teLat kena denda.
emang bisa kita minta maaf."
live_021096,Sumsel keno jugo kubu 😳
vitshyanggrainy,"pancurbatu deliserdang belum nyala juga,gimana nih"
rismakkkkk,"hidupppkan lampu kami org medan tj mulia woiiii, aku gbs tidurr karna keringatannnnnn"
nassaallya,"gamau maafin, bayangkan aja 18 jam mati lampu itu cemana??? pokonya gamau dimaafin pak🤚🏻"
teserahgomez,pak yg bener aja deh. kerjaan gua berantakan😭😭
chamachalate,"pak, ikan hiasku jd mati 💔"
adagulaadasemutt,sampe sekarang belom hidup di sebagian wilayah medan.
wanitabahagia450,18.45-12.56 gila bener
gracek_medan,dari kemaren jam 19:30 sampai tadi jam 11.00 hemm
jobless.kelas.kakap,Ayo donk minta maaf nya kalo tulus bln ini uang listrik gratis ellaahh
ptri_meli,alah di sini tiap hari mati lampu sampek banyak alat elektronik yg rusak
kartikasari4877,pak kami sdh tersiksa ini.. tolong lh pak.. klw telat bayar lampu di denda pak🙏
putrijuliamegautami,baru hidup jam 10 pagi tadii☺️
raja.guguk54,gara2 listrik mati pembuahan calon anak yg ke 3 terjadi
batman_8496,bujang inam ma di Hamu sude Akka PLN
delaviteart,KALO TELAT BAYAR ... CUMA MINTA MAAF BOLEH NGGAK?
barchenn_,dari semalam jam 6 sore sampe hari ini jam 2 siang blm ada hidup di medan. tai lah
yaszzzz54,gak butuh maaf butuh nya duit udah 100 k abis duit isi minyak mesin ginset
cyllawww,@🐳 @nabila⋆.ೃ࿔*:･ @abvcd
fajriadha187,baik bngt pak Lampung dikasih part 2
jonn_travel.co,"ganti rugi woy,"
exzy_syaa,nnti efisiensi ga pak?
h.alhafit,"bukan itu saja diriau hampir setiap saat mati lampu,apalagi hujan mau sedang atau lebat"
dedigsiregar,klo kami nunggak bayar listrik apa boleh cuma minta maaf
rezkyawantara,Assalamu'alaikum pak mohon maaf sebelumnya kalau ada mati lampu terlalu tolong di beritahukan terlebih dahulu 2 hari sblm biar kami yg pny bayi tidak tgg terlalu kesian pak kami yg punya anak bayi tadi mlm nyala baru jam 5 subuh dari jam 7 mlm.daerah riau tdk ada pemberitahuan sblmnya🙏
user7549359102583,bilang aja disabotase
eris101011,aku ngk bisa live anjir
ycrlns,maaf doang. isiin token kami lah
crmll_macchiato,"minta maaf doang, minimal kompensasi lah, jangan soal nagih aja yg kenceng pakkkk!!!"
ayah.ibu076,ini lah yg di bilang. mati ATM mati listrik. gelap seindonesia
niniyaa26,dari jam 17.30 sampai 13.30 baru hidup ampun😌
widi.saputra95,bulan DPN byar listrik naik KTA y
fatimah.aja.fatim,"dah biasa kami pk,di Sumsel jadi gk kaget kaget amat,wong amat aja gk pernah kaget walau tiap hari mati lampu ..."
pure_country_music,"🤣🤣🤣.. klo bayar listrik telat, denda.klo pln mati? 😂😂."
flaming_hotcheetos11,Kompensasi sih
ianlah_,jadi ga bisa push rank bujang lah
ritasinaga361,"iya pass banget itu pak gak ada listrik dunia ini terasa gelap semua, dan aktivitas pun tidak bisa berlanjut , semoga hal seperti ini tidak sering terjadi 😄"
ariqiw_,sosmed dia apa
maimunahyupzdaeba,baru semalam mati lampu...ditempat ku...2 rumah kebakaran ...🥹gara2 lilin
itsnotaboutlov,gmo maafin aku gerah semalam gda kipas gda ac gda paket
thabrani219,"paket ku habis,,🤣🤣"
royana.sinabutar,salut buat Pak Dirut....🙏🙏 langsung minta maaf
notayang_,KOMPENSASI LAAAAAA
anputrisyafriadi,sumsel juga pak.
hendrasam6,kata maaf tidak menutup kerugian kami lo Pak
selalusabar051,Dari abis maghrib smpai abis subuh😫
deswita5980857749571,"hikmahnya semalam tempat jualan kami rame ,yg nyari makan numpang ngecas ,numpang kipas ,Allhamdulilah"
panggilakurahma_ya,"Gak di maafin,tadi malam bobo gak slep call hmm"
111balon,"gw dengar mereka belum ada tidur rispek, "" demi kita semua mereka berjuang bahkan nyawa juga dipertaruhkan karna itu listrik bertegangan tinggi "" sehat selalu pak dengan rekan² semoga bapak² di beri kesamatan dan kesehatan selalu 🙏 cinta Indonesia merdeka 💪🇮🇩💥"
skynovae_0812,Gak aku maafkan pak. Males
omaqqqq4,daerah saya jam 7 mlm mati baru hidup 15 menit
kinanti492015,gak mau tau... pokoknya ganti... ikan koi saya pada mati paak..🥺🥺🥺🥹😭
bang.tri454,asahan mana ni pak kok blum hidup juga🥲
ciciciecakwo,kami dr jam 6 sore.. sampai jam 2 siang ini lom hidup juga Pak 😭😭😭😭
dwiaulia379,"dari jam 18'40 mati lampu, hidup jam 7 pagi"
aapppppprl,gamau pakk aku gamau maafin aku gajadi nyeblak tadi malem😭😭😭
ninaferanika,"tersiksa kali mati lampu ini, gak bisa ngidupin mesin air, gak bisa ngidupin kipas angin, gelap gulita, sampai saat ini belom hidup juga listrik nya di Binjai barat paya roba kota Binjai, semoga cepat di perbaiki PLN nya"
tuanputrimu21,apa apaan di tempat ku mati jam 18:30 baru hidup tadi pagi jam 8:10 pagi 😒
user4545396119441,"pas, AIR LEDENG JUGA MASIH PADAM detik ini Sabtu di kota Medan..."
amandanya03,ngasih apa dulu? ntar baru dipikirin maafin aa ga
kusnultowiyah,Tanjung Enim Sumatera Selatan hampir setiap hari mati lampu gak di sebut 🤦🏻🤦🏻
daraafrinaa,INTINYA KAPAN IDOPP WOII
nelly.marbun07,😂
niasrnka,@vinkakristila
fajriadha187,🔥
srafa_id,mantap gua mau tp gara gara lampu sama sinyal mati tp gw lebih banyak
alindaicaaa,Rumah ku BELOM IDUP SAMA SEKALI
bijinginim1,[Stiker] berapa pak bayaran nya
husaini.saini17,PLN sumatra selalu ada masalah
user12680073343951,"makasih pak,,akibat lampu padam aku panen ayam Pakhoy 28 ekor td malam..🥰🥰"
k4n9b3c4k,"ini di Pekanbaru baru, dah mati lagi🙃"
bibitikanmedan,"minta maaf gampang bang. ganti rugi lh
kek mana usaha yg berdampak karna lampu mati. dikota Medan loh ini.
enak aja bilang Minta Maaf"
zfaa1432,[Stiker] PANASSS🥵🥵😭😭
inimanusiaaa04,maaf mulu kbtl
ieuryel,gapapa cuma 1hari doang
12.16oc,demi apaaa mati lagi dari jam 10 sampe sekarang belom iduppp
ams52911,apa jaringan gak ringloop pak PLN
gondrongkencana2,bangka Belitung malam tdi mati lampu
ayupow_,"plis smlm gue ga bisa tidur samsek gara"" kegerahann bgtt trs gabisa tidur gelap*an"
user6917441136281,Udh ngomong aja langsung berapa ton yg lewat????
ykciraytida,Tanggung jawab pak udah terlanjur nimbun lilin ini
rudilumbantoruan4,belum lagi semauya pln matikan listrik di saat magrip ini sangat tida masuk akal saya sebagai masyarakat tidak busa menerima hal ini
dikiedharmawan,ngomong nya santai banget set tan
bbukanlia,"aku gamau maafin dlu ya, stres kami yg di medan ini"
user57915874797434,ujung2 nya minta maaf kalorakyat bolehh minta maaf
budmann13,"respect sih kawan ku tiba kaya,pas mati lampu semalaman"
hok.tiktok7,ku kirain daju mau datang😑
sri.lestari3543,Aceh Selatan belum hidup pak.tolongggg
ibuguru089,"Singkat saja pak, apa yg lewat tadi malam?"
dedet.nofrianto,"setiap bikin kesalahan minta maaf urusan selesai,enak bgt hidup di Indonesia ini"
mamiichiqueen11,"Gakmauuu pakk semua hanya dustaaa , aku tidur diluar kamar dan bukak pintu rumah sampai subuhhhhh 😭😭😭😭😭😭😭"
miirakusumaningtyas,18 jam pak 😭
fiscabrca_,berapa ton yang lolos?
meutuah821,"kalau di ibaratkan orang sakit,indonesia ini sakit apa sich.."
karinasyafitri286,"[Stiker] dari jam setengah 7 magrib2 baru nyala jam 11 siang. mana punya bocil 2. dan kami tidak pakai PDAM, jarang di daerah kami yg pakai PDAM. jadinya kalau listrik mati air ikutan mati"
melyza946,gak ga mau maafin aku semalaman GK bisa tidur kepanasan.
desy.rafasya2,🥰🥰🥰🥰
yynsaja,sumatra lg pak ....! 🫩
twokang_mancing,mati lampu tinggal brangkat mancing 😂😂
asyraf_07556,cie cieee
estjkpt,"12jam total padam pak, bapak gatau saya hampir begaul sama brontosaurus? berasa hidup dijaman batu gue😭"
rinaafriana_,Sjk td mlm atau sejak sejak lalu yg udh direncakan pakkkkk🤣
taniiaherrsa,"ga dimaafin, gara2 mati lampu ga bsa sleepcall"
fqrhanprtma,warga muara bungo yg nonton sini kumpul😄
pipitfrdn,"[Stiker] ga di maapin gegara kamu aku semalem gak vc sama ayangggg,"
cheese.cakeee1,dari jam 18:56 sampe jam 11 siang baru hidup
ozill_73,perasaan aku semua nya mati semua di indonesia
my_sagitarius_0312,lagi sabotase apa masee 😁
geusong00,maaf terus ....emg lebaran ....
mesya_ataya,"Ga mau di maafkan, balikin uang aku 250 buat chekin ngecas hp"
n4444ngandizatmiko,😂😂😂😂😂
nenisusanti928,gampang sekali minta maaf tp klo masyarakat telat bayar apakah pln ada minta maaf utk cbt meteran. ngk ush basa basi tutupoin lampu d naikin harga nya
boyhaqynyakghem,"bilang aja lagi korupsi,"
hagunamatata5,caerr
hasudungan.tamba1,sampai beberapa prov blac out.? masa tak bisa dicegah.?
fazril.aj4,kok bisa mati lampu pak
hendrosastronegoro,tekor terus🤣
elliee396,":bentar lg pdam yg minta maaf, kok bs sih pengen minta maaf barengan, smlm listrik padam, hari ini aer yg padam, ggggggrrrrkkkkkhhhhh😏"
jaah6758,Tempat ku baru hidup
rudilumbantoruan4,tiada maaf bagimu saya masyarakat tidak bisa menerima hal ini di karnakan masyarakat merugi sangat
fitriani3553,sekian dan terima kasih pak🤣🤣🤣🤣
syamsyu.alam,7 hari mantap
menikmatikesendirian03,"pak saya orang Jambi di pedalaman pak tapi tempat saya belum ada masuk PLN pak jalan juga belum di aspal, dan jaringan data juga belum ada masuk ke daerah saya pak🙏🙏🙏 semoga dibls"
madhan_34,jadi nggak bisa sleep call awak sama ayang awak😭😭🗿
kartika2808,bbox dmobil ... otel pada full
berkahh609,"bungo hanya jam 4 subuh mati,hidup lagi jam 6"
mastonmarpaung907,pada mintak maaf karusak. coba masyarakat menunggak cepat sekali diputus.
andrea_muti.14,gmau
15.alfrzzy,kelap kelip dl jir kmren
sijegess,"gak bisa di terima pak.
medan lagi panas"" nya , malah listrik padam.
panas pak satu malaman PANAAAAaaaaaaSssss"
raishakanaya0,kok bisa seluruh sunatera
kuy_cimcim16,Berapa ton masuk ??
mm_uyun,gak fokus apa yang dibilang bapak ini. lagi sibuk baca komen² 😂😭
haryyfirdaus,intinya aja Wak ada diskon ga?
suraya.2012,"klu byri listrik bisa Ndak dgn kata maaf ,maaf blm ada duit utk byr listrik"
